catalogue_entry,titles_names,catalog level,classification1,classification2,Material,description_notes,inscription/ marks,measurements,Exhibition_hall,periods,find spot,creator,ownership,collecting history,contributor_type,location,photo,Unnamed: 19,Unnamed: 20
1,VASE of funerary type,item,Ceramics,pottery,ceramics; pottery,with design of coiling spirals in purple and black,,H. 42.5 cm,1 Shang-Yin or and  Zhou Dynasty,Neolithic,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
2,VASE of funerary type,item,Ceramics,pottery,ceramics; pottery,with decoration of leaves and rings in black,,H. 40 cm,1 Shang-Yin or and  Zhou Dynasty,Neolithic,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
3,BOWL,item,Ceramics,pottery,ceramics; pottery,"double handled, painted with herring-bone design",,H. 13.5 cm,1 Shang-Yin or and  Zhou Dynasty,Neolithic,,,"M. CALMANN, Paris",,private,"Paris, France",yes,,
4,BOWL,item,Ceramics,pottery,ceramics; pottery,"with swag-like ornament in black, Non-funereal type",,Di. 26 cm,1 Shang-Yin or and  Zhou Dynasty,Neolithic,,,"ÖSTASIATISKA SAMLINGARNA, Stockholm",,museum,"Stockholm, Sweden",yes,,
5,AXE,item,Stones and Minerals,Utilitarian Objects,stones; stone,with painted men and horses,,H. 18.3 cm,1 Shang-Yin or and  Zhou Dynasty,Neolithic,,,"OSCAR RAPHAEL, London",,private,"London, U.K.",yes,,
6,YEN/YAN (steamer),item,Bronze,Containers,metalwork; bronze,bronze inlaid with gold and silver,Inscribed,H. 44.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
7,LI (caldron),item,Bronze,Containers,metalwork; bronze,SQUARE,,H. 23.9 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
8,LI (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 15.2 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
9,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 22.9 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
10,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 16.4 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
11,TING (caldron),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 24.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
12,TSUN/ZUN (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H. 25.9 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
13,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,,H12.7cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
14,CHIA/JIA (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H33.9cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
15,VASE,item,Ceramics,pottery,ceramics; pottery,"brown pottery, with double loop handles",,H16.4cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,"PROFESSOR W. PERCEVAL YETTS, O.B.E., London",,private,"London, U.K.",yes,,
16,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 12.5 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,,,
17,TSUN (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H 20'6 cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,,,
18,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H13.8cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
19,YU (wine vessel),item,Bronze,Containers,metalwork; bronze,,Inscribed,H24.5cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
20,KUEI (food vessel),item,Bronze,Containers,metalwork; bronze,SQUARE,Inscribed,H 20.6 cm,1 Shang-Yin or and  Zhou Dynasty,Shang,,,THE CHINESE GOVERNMENT,,government,China,yes,,
21,YEN/YAN (steamer),item,Bronze,Containers,metalwork; bronze,SQUARE,,H 40cm,1 Shang-Yin or and  Zhou Dynasty,Western Zhou,,,THE CHINESE GOVERNMENT,,government,China,yes,,
